output_id,alert_id,claim_id,claim_type,asserted_value,evidence_refs,generated_at,draft_source,draft_reference,model_id,processing_run_id
OUT-f8ee1b29,ALERT001,CLM-fd66ca61,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=12000.0"", ""transactions.txn_id=TXN00001"", ""transactions.txn_id=TXN00186""]",2026-07-20T03:40:14.079719+00:00,captured_live,LIVE-CAPTURE-V1:ALERT001,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-f1e2c829,ALERT001,CLM-b2148755,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=12000.0"", ""transactions.txn_id=TXN00001"", ""transactions.txn_id=TXN00185"", ""transactions.txn_id=TXN00186""]",2026-07-20T03:40:14.079739+00:00,captured_live,LIVE-CAPTURE-V1:ALERT001,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-7efb39e1,ALERT002,CLM-143aba3d,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=2000.0"", ""transactions.txn_id=TXN00002"", ""transactions.amount=45000.0""]",2026-07-20T03:40:16.054242+00:00,captured_live,LIVE-CAPTURE-V1:ALERT002,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-fa45a614,ALERT002,CLM-a74551bc,high_risk_country,true,"[""transactions.txn_id=TXN00002"", ""transactions.counterparty_country=AE""]",2026-07-20T03:40:16.054298+00:00,captured_live,LIVE-CAPTURE-V1:ALERT002,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-028f4929,ALERT002,CLM-201ac949,missing_kyc_data,true,"[""evidence_items.item_type=sanctions_screening"", ""evidence_items.available=False"", ""evidence_items.item_type=adverse_media_check"", ""evidence_items.item_type=beneficial_ownership""]",2026-07-20T03:40:16.054356+00:00,captured_live,LIVE-CAPTURE-V1:ALERT002,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-4929be3a,ALERT003,CLM-0578a797,rapid_movement,true,"[""transactions.txn_id=TXN00003"", ""transactions.txn_id=TXN00004"", ""transactions.txn_id=TXN00005"", ""transactions.txn_id=TXN00006""]",2026-07-20T03:40:17.442494+00:00,captured_live,LIVE-CAPTURE-V1:ALERT003,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-28cc932d,ALERT004,CLM-f27ff978,structuring,true,"[""transactions.txn_id=TXN00007"", ""transactions.txn_id=TXN00008"", ""transactions.txn_id=TXN00009"", ""transactions.txn_id=TXN00010""]",2026-07-20T03:40:19.312630+00:00,captured_live,LIVE-CAPTURE-V1:ALERT004,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-fd50af98,ALERT004,CLM-d22c8b00,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00007"", ""transactions.txn_id=TXN00008"", ""transactions.txn_id=TXN00009"", ""transactions.txn_id=TXN00010""]",2026-07-20T03:40:19.312722+00:00,captured_live,LIVE-CAPTURE-V1:ALERT004,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-0acf49b0,ALERT005,CLM-7dce4113,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=5000.0"", ""transactions.txn_id=TXN00012"", ""transactions.amount=60000.0""]",2026-07-20T03:40:21.310405+00:00,captured_live,LIVE-CAPTURE-V1:ALERT005,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-9beda7ff,ALERT005,CLM-1d808b47,high_risk_country,true,"[""transactions.txn_id=TXN00012"", ""transactions.counterparty_country=IR""]",2026-07-20T03:40:21.310416+00:00,captured_live,LIVE-CAPTURE-V1:ALERT005,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-5c4bec7f,ALERT005,CLM-a86897f5,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2025-03-20""]",2026-07-20T03:40:21.310422+00:00,captured_live,LIVE-CAPTURE-V1:ALERT005,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-107a200c,ALERT006,CLM-cab3fd3b,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2021-12-01""]",2026-07-20T03:40:22.534363+00:00,captured_live,LIVE-CAPTURE-V1:ALERT006,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-477baa47,ALERT007,CLM-9d3c6d8f,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=10000.0"", ""transactions.txn_id=TXN00014"", ""transactions.amount=22000.0""]",2026-07-20T03:40:24.878598+00:00,captured_live,LIVE-CAPTURE-V1:ALERT007,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-284ab559,ALERT007,CLM-10c12c80,prior_sar_history,true,"[""prior_cases.prior_sar_count=2"", ""prior_cases.last_sar_date=2024-06-12""]",2026-07-20T03:40:24.878652+00:00,captured_live,LIVE-CAPTURE-V1:ALERT007,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
OUT-f750574f,ALERT007,CLM-855191b2,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo"", ""evidence_items.available=False""]",2026-07-20T03:40:24.878684+00:00,captured_live,LIVE-CAPTURE-V1:ALERT007,claude-haiku-4-5-20251001,LIVE-CAPTURE-V1
